RSCID,Discord ID,Name,Franchise,Team,Tier,SBV,GP
RSC005150,720341628669132802,Galatiq,Pantheon,Tyr,Challenger,10.85,16
RSC002412,665380599229579265,Rosefanatic3615,Minty Fresh,Smooth Mint,Challenger,7.53,47
RSC002841,168589771709480960,Dyl,,,Challenger,6.36,4
RSC005426,704785511268745280,Nineohprime,,,Challenger,1.93,4
RSC000258,192716181755527169,Honeybadgermo,,,Challenger,-3.32,4
RSC003054,535212071734739005,Particlect,,,Challenger,-8.27,4
RSC004282,786988993395949608,Fudansynder,The Sovereign,Spartans,Prospect,47.50,18
RSC005759,339621420541804544,Xernaut,,,Challenger,-17.55,1
RSC005215,638108596390985738,Countrywolfz,Pantheon,Nuwa,Amateur,89.39,55
RSC005503,796060043832721428,Imlurkinn,Destined,Sacrificed,Amateur,84.42,52
RSC005486,262544576214990859,Haze,,,Amateur,79.56,3
RSC005455,265249220775247873,Covi,Eight Legged Freaks,Flic-Flacs,Amateur,78.39,51
RSC000879,450113632517488640,Inwardlicense54,Destined,Sacrificed,Amateur,70.55,48
RSC005099,394304130266562561,Neithernick,Fifty-Fifty Pizzeria,House Salads,Amateur,69.23,56
RSC005689,289162367751815168,Ary,The Elements,Surprise,Amateur,63.45,26
RSC005506,905169812462919710,Larzten,The Garden,Potatoes,Amateur,62.42,41
RSC005475,263480093974855680,Nv_3E00,Energy,Potential,Amateur,60.62,46
RSC005549,822203944100429875,Sugar_Biscuit20,The Cosmos,Antimatter,Amateur,58.96,55
RSC005526,260576707616964610,Infernape1700,Fifty-Fifty Pizzeria,House Salads,Amateur,58.71,55
RSC004902,316722230619013120,Cuse42,Pantheon,Nuwa,Amateur,57.16,55
RSC005519,681317051926577167,Pokeninja77,The Garden,Potatoes,Amateur,55.52,45
RSC003223,406582603546886154,Ark7000,The Elements,Surprise,Amateur,52.39,47
RSC005075,745367837442572378,Lockl11N,Eight Legged Freaks,Flic-Flacs,Amateur,48.85,47
RSC005724,294956000077676545,Cetchii,Fifty-Fifty Pizzeria,House Salads,Amateur,47.26,35
RSC005136,738215873701216316,Tdogplayz,The Elements,Surprise,Amateur,45.36,47
RSC000466,256946120498872330,Underbreadbore,Destined,Sacrificed,Amateur,42.58,46
RSC005542,387981479877148673,Godsfarm,Pantheon,Nuwa,Amateur,41.37,14
RSC005629,218196947314540564,Primalsoul,The Cosmos,Antimatter,Amateur,39.95,30
RSC000323,212385877878505474,Styk75,The Cosmos,Antimatter,Amateur,38.96,50
RSC005059,96388510767910912,Techfour,Pantheon,Nuwa,Amateur,38.24,44
RSC005725,965730506643759204,Rwalls516R,The Elements,Surprise,Amateur,37.72,48
RSC005339,693927938680422441,Dabzxst4Tu5,,,Amateur,35.56,10
RSC000146,154016874688937984,Ethrealdoom,Eight Legged Freaks,Flic-Flacs,Amateur,35.26,26
RSC005707,375741221944950825,Bluecrimsonjr,The Garden,Potatoes,Amateur,34.59,39
RSC004939,894670685413208135,Jdoyle15,The Cosmos,Antimatter,Amateur,31.33,18
RSC003968,303635437581369384,Shootzy,Fifty-Fifty Pizzeria,House Salads,Amateur,30.47,22
RSC005550,258067155495550977,Shraggaholic,Eight Legged Freaks,Flic-Flacs,Amateur,28.26,32
RSC004761,395735772080111616,Spiperwolf,The Garden,Potatoes,Amateur,23.05,24
RSC005723,725061223011582023,Reserentflyer5,Energy,Potential,Amateur,22.75,43
RSC005616,539301743129788436,Tigerblood2798,Destined,Sacrificed,Amateur,21.68,22
RSC005427,738668814484504597,Lltoxic_Dripll,Energy,Potential,Amateur,18.74,25
RSC005714,387890900174372868,T_I_M_O_G,Energy,Potential,Amateur,17.00,44
RSC005527,626197456761389076,Colossus4203316,Destined,Devoured,Amateur,14.82,15
RSC005825,399787371043749900,Zingaling,,,Amateur,7.40,4
